frame,scan,pressure_GPa,excluded,channel,file_path,original_filename,exclusion_reason
0,orientation_10deg,1.0,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0000.xy,UOTe-1GPa-10deg_rot_054.tif,
1,orientation_5deg,1.0,1,spots,../UOTe Single Crystal Reduced/patterns/frame_0001.xy,UOTe-1GPa-5deg_rot_053.tif,isolated_orientation_without_pressure_series
2,orientation_0deg,1.0,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0002.xy,UOTe-1GPa_052.tif,
3,orientation_10deg,12.0,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0003.xy,UOTe-12p0GPa-10deg_075.tif,
4,orientation_0deg,12.0,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0004.xy,UOTe-12p0GPa_074.tif,
5,orientation_10deg,12.8,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0005.xy,UOTe-12p8GPa-10deg_077.tif,
6,orientation_0deg,12.8,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0006.xy,UOTe-12p8GPa_076.tif,
7,orientation_10deg,1.5,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0007.xy,UOTe-1p5GPa-10deg_056.tif,
8,orientation_0deg,1.5,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0008.xy,UOTe-1p5GPa_055.tif,
9,orientation_10deg,2.3,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0009.xy,UOTe-2p3GPa-10deg_058.tif,
10,orientation_0deg,2.3,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0010.xy,UOTe-2p3GPa_057.tif,
11,decompression_orientation_10deg,2.4,1,spots,../UOTe Single Crystal Reduced/patterns/frame_0011.xy,UOTe-2p4GPa-noNe-10deg_079.tif,separate_decompression_branch_with_one_pressure_level
12,decompression_orientation_0deg,2.4,1,spots,../UOTe Single Crystal Reduced/patterns/frame_0012.xy,UOTe-2p4GPa-noNe_078.tif,separate_decompression_branch_with_one_pressure_level
13,orientation_10deg,3.9,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0013.xy,UOTe-3p9GPa-10deg_060.tif,
14,orientation_0deg,3.9,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0014.xy,UOTe-3p9GPa_059.tif,
15,orientation_10deg,5.0,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0015.xy,UOTe-5p0GPa-10deg_062.tif,
16,orientation_0deg,5.0,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0016.xy,UOTe-5p0GPa_061.tif,
17,orientation_10deg,6.2,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0017.xy,UOTe-6p2GPa-10deg_064.tif,
18,orientation_0deg,6.2,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0018.xy,UOTe-6p2GPa_063.tif,
19,orientation_10deg,7.4,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0019.xy,UOTe-7p4GPa-10deg_066.tif,
20,orientation_0deg,7.4,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0020.xy,UOTe-7p4GPa_065.tif,
21,orientation_10deg,8.5,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0021.xy,UOTe-8p5GPa-10deg_068.tif,
22,orientation_0deg,8.5,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0022.xy,UOTe-8p5GPa_067.tif,
23,orientation_0deg,9.8,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0023.xy,UOTe-9p8GPa_069.tif,
24,orientation_0deg,9.8,1,spots,../UOTe Single Crystal Reduced/patterns/frame_0024.xy,UOTe-9p8GPa_070.tif,duplicate_scan_pressure_keep_lowest_acquisition_number
25,orientation_0deg,9.8,1,spots,../UOTe Single Crystal Reduced/patterns/frame_0025.xy,UOTe-9p8GPa_071.tif,duplicate_scan_pressure_keep_lowest_acquisition_number
26,orientation_10deg,9.8,0,spots,../UOTe Single Crystal Reduced/patterns/frame_0026.xy,UOTe-9p8GPa_10deg_072.tif,
27,orientation_10deg,9.8,1,spots,../UOTe Single Crystal Reduced/patterns/frame_0027.xy,UOTe-9p8GPa_10deg_073.tif,duplicate_scan_pressure_keep_lowest_acquisition_number
